pm[0] = 206.843 pm[1] = -366.989 pm[2] = 0.011  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 193.954 pm[1] = -372.957 pm[2] = -0.284  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 183.604 pm[1] = -382.029 pm[2] = -0.141  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 108.654 pm[1] = -406.546 pm[2] = 0.009  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 79.164 pm[1] = -412.471 pm[2] = -0.091  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 104.553 pm[1] = -404.523 pm[2] = 0.459  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 151.600 pm[1] = -388.481 pm[2] = 0.052  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 215.384 pm[1] = -362.386 pm[2] = 0.026  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 258.091 pm[1] = -337.416 pm[2] = -0.032  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 285.932 pm[1] = -256.029 pm[2] = -270.196  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 220.302 pm[1] = -227.847 pm[2] = 369.743  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 143.012 pm[1] = -266.975 pm[2] = -384.228  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -373.874 pm[1] = -142.069 pm[2] = 0.880  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 200.100 pm[1] = -316.275 pm[2] = -289.149  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 207.884 pm[1] = -363.885 pm[2] = 0.012  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 232.118 pm[1] = -342.055 pm[2] = 0.002  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 286.407 pm[1] = -303.245 pm[2] = 1.656  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
